[2026-02-24 10:33:33,998] INFO [Broker id=1] Transitioning 52 partition(s) to local leaders. (state.change.logger)
[2026-02-24 10:33:34,020] INFO [Broker id=1] Leader __consumer_offsets-13 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,068] INFO [Broker id=1] Leader __consumer_offsets-46 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,080] INFO [Broker id=1] Leader __consumer_offsets-9 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,084] INFO [Broker id=1] Leader __consumer_offsets-42 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,087] INFO [Broker id=1] Leader __consumer_offsets-21 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,091] INFO [Broker id=1] Leader __consumer_offsets-17 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,091] INFO [Broker id=1] Leader __consumer_offsets-30 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,091] INFO [Broker id=1] Leader __consumer_offsets-26 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,101] INFO [Broker id=1] Leader __consumer_offsets-5 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,105] INFO [Broker id=1] Leader __consumer_offsets-38 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,105] INFO [Broker id=1] Leader my-topic-0 with topic id Some(B1teqi89Q1y-d_5OWfumOw) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
